sample	unit	fq1	fq2	parhap
2011_SRR6123032_SRR6123183_3011	2011_SRR6123032_SRR6123183_3011	2011_SRR6123032_SRR6123183_3011.fastq.gz	NaN	haploid
2012_SRR6123032_SRR6123183_3012	2012_SRR6123032_SRR6123183_3012	2012_SRR6123032_SRR6123183_3012.fastq.gz	NaN	haploid
2013_SRR6123032_SRR6123183_3013	2013_SRR6123032_SRR6123183_3013	2013_SRR6123032_SRR6123183_3013.fastq.gz	NaN	haploid
2014_SRR6123032_SRR6123183_3014	2014_SRR6123032_SRR6123183_3014	2014_SRR6123032_SRR6123183_3014.fastq.gz	NaN	haploid
2015_SRR6123032_SRR6123183_3015	2015_SRR6123032_SRR6123183_3015	2015_SRR6123032_SRR6123183_3015.fastq.gz	NaN	haploid
2016_SRR6123032_SRR6123183_3016	2016_SRR6123032_SRR6123183_3016	2016_SRR6123032_SRR6123183_3016.fastq.gz	NaN	haploid
2017_SRR6123032_SRR6123183_3017	2017_SRR6123032_SRR6123183_3017	2017_SRR6123032_SRR6123183_3017.fastq.gz	NaN	haploid
2018_SRR6123032_SRR6123183_3018	2018_SRR6123032_SRR6123183_3018	2018_SRR6123032_SRR6123183_3018.fastq.gz	NaN	haploid
2019_SRR6123032_SRR6123183_3019	2019_SRR6123032_SRR6123183_3019	2019_SRR6123032_SRR6123183_3019.fastq.gz	NaN	haploid
2020_SRR6123032_SRR6123183_3020	2020_SRR6123032_SRR6123183_3020	2020_SRR6123032_SRR6123183_3020.fastq.gz	NaN	haploid
2021_SRR6123032_SRR6123183_3021	2021_SRR6123032_SRR6123183_3021	2021_SRR6123032_SRR6123183_3021.fastq.gz	NaN	haploid
2022_SRR6123032_SRR6123183_3022	2022_SRR6123032_SRR6123183_3022	2022_SRR6123032_SRR6123183_3022.fastq.gz	NaN	haploid
2023_SRR6123032_SRR6123183_3023	2023_SRR6123032_SRR6123183_3023	2023_SRR6123032_SRR6123183_3023.fastq.gz	NaN	haploid
2024_SRR6123032_SRR6123183_3024	2024_SRR6123032_SRR6123183_3024	2024_SRR6123032_SRR6123183_3024.fastq.gz	NaN	haploid
2025_SRR6123032_SRR6123183_3025	2025_SRR6123032_SRR6123183_3025	2025_SRR6123032_SRR6123183_3025.fastq.gz	NaN	haploid
2026_SRR6123032_SRR6123183_3026	2026_SRR6123032_SRR6123183_3026	2026_SRR6123032_SRR6123183_3026.fastq.gz	NaN	haploid
2027_SRR6123032_SRR6123183_3027	2027_SRR6123032_SRR6123183_3027	2027_SRR6123032_SRR6123183_3027.fastq.gz	NaN	haploid
2028_SRR6123032_SRR6123183_3028	2028_SRR6123032_SRR6123183_3028	2028_SRR6123032_SRR6123183_3028.fastq.gz	NaN	haploid
2029_SRR6123032_SRR6123183_3029	2029_SRR6123032_SRR6123183_3029	2029_SRR6123032_SRR6123183_3029.fastq.gz	NaN	haploid
2030_SRR6123032_SRR6123183_3030	2030_SRR6123032_SRR6123183_3030	2030_SRR6123032_SRR6123183_3030.fastq.gz	NaN	haploid
2031_SRR6123032_SRR6123183_3031	2031_SRR6123032_SRR6123183_3031	2031_SRR6123032_SRR6123183_3031.fastq.gz	NaN	haploid
2032_SRR6123032_SRR6123183_3032	2032_SRR6123032_SRR6123183_3032	2032_SRR6123032_SRR6123183_3032.fastq.gz	NaN	haploid
2033_SRR6123032_SRR6123183_3033	2033_SRR6123032_SRR6123183_3033	2033_SRR6123032_SRR6123183_3033.fastq.gz	NaN	haploid
2034_SRR6123032_SRR6123183_3034	2034_SRR6123032_SRR6123183_3034	2034_SRR6123032_SRR6123183_3034.fastq.gz	NaN	haploid
2035_SRR6123032_SRR6123183_3035	2035_SRR6123032_SRR6123183_3035	2035_SRR6123032_SRR6123183_3035.fastq.gz	NaN	haploid
2036_SRR6123032_SRR6123183_3036	2036_SRR6123032_SRR6123183_3036	2036_SRR6123032_SRR6123183_3036.fastq.gz	NaN	haploid
2037_SRR6123032_SRR6123183_3037	2037_SRR6123032_SRR6123183_3037	2037_SRR6123032_SRR6123183_3037.fastq.gz	NaN	haploid
2038_SRR6123032_SRR6123183_3038	2038_SRR6123032_SRR6123183_3038	2038_SRR6123032_SRR6123183_3038.fastq.gz	NaN	haploid
2039_SRR6123032_SRR6123183_3039	2039_SRR6123032_SRR6123183_3039	2039_SRR6123032_SRR6123183_3039.fastq.gz	NaN	haploid
2040_SRR6123032_SRR6123183_3040	2040_SRR6123032_SRR6123183_3040	2040_SRR6123032_SRR6123183_3040.fastq.gz	NaN	haploid
2041_SRR6123032_SRR6123183_3041	2041_SRR6123032_SRR6123183_3041	2041_SRR6123032_SRR6123183_3041.fastq.gz	NaN	haploid
2042_SRR6123032_SRR6123183_3042	2042_SRR6123032_SRR6123183_3042	2042_SRR6123032_SRR6123183_3042.fastq.gz	NaN	haploid
2043_SRR6123032_SRR6123183_3043	2043_SRR6123032_SRR6123183_3043	2043_SRR6123032_SRR6123183_3043.fastq.gz	NaN	haploid
2044_SRR6123032_SRR6123183_3044	2044_SRR6123032_SRR6123183_3044	2044_SRR6123032_SRR6123183_3044.fastq.gz	NaN	haploid
2045_SRR6123032_SRR6123183_3045	2045_SRR6123032_SRR6123183_3045	2045_SRR6123032_SRR6123183_3045.fastq.gz	NaN	haploid
2046_SRR6123032_SRR6123183_3046	2046_SRR6123032_SRR6123183_3046	2046_SRR6123032_SRR6123183_3046.fastq.gz	NaN	haploid
2047_SRR6123032_SRR6123183_3047	2047_SRR6123032_SRR6123183_3047	2047_SRR6123032_SRR6123183_3047.fastq.gz	NaN	haploid
2048_SRR6123032_SRR6123183_3048	2048_SRR6123032_SRR6123183_3048	2048_SRR6123032_SRR6123183_3048.fastq.gz	NaN	haploid
2049_SRR6123032_SRR6123183_3049	2049_SRR6123032_SRR6123183_3049	2049_SRR6123032_SRR6123183_3049.fastq.gz	NaN	haploid
2050_SRR6123032_SRR6123183_3050	2050_SRR6123032_SRR6123183_3050	2050_SRR6123032_SRR6123183_3050.fastq.gz	NaN	haploid
2051_SRR6123032_SRR6123183_3051	2051_SRR6123032_SRR6123183_3051	2051_SRR6123032_SRR6123183_3051.fastq.gz	NaN	haploid
2052_SRR6123032_SRR6123183_3052	2052_SRR6123032_SRR6123183_3052	2052_SRR6123032_SRR6123183_3052.fastq.gz	NaN	haploid
2053_SRR6123032_SRR6123183_3053	2053_SRR6123032_SRR6123183_3053	2053_SRR6123032_SRR6123183_3053.fastq.gz	NaN	haploid
2054_SRR6123032_SRR6123183_3054	2054_SRR6123032_SRR6123183_3054	2054_SRR6123032_SRR6123183_3054.fastq.gz	NaN	haploid
2055_SRR6123032_SRR6123183_3055	2055_SRR6123032_SRR6123183_3055	2055_SRR6123032_SRR6123183_3055.fastq.gz	NaN	haploid
2056_SRR6123032_SRR6123183_3056	2056_SRR6123032_SRR6123183_3056	2056_SRR6123032_SRR6123183_3056.fastq.gz	NaN	haploid
2057_SRR6123032_SRR6123183_3057	2057_SRR6123032_SRR6123183_3057	2057_SRR6123032_SRR6123183_3057.fastq.gz	NaN	haploid
2058_SRR6123032_SRR6123183_3058	2058_SRR6123032_SRR6123183_3058	2058_SRR6123032_SRR6123183_3058.fastq.gz	NaN	haploid
2059_SRR6123032_SRR6123183_3059	2059_SRR6123032_SRR6123183_3059	2059_SRR6123032_SRR6123183_3059.fastq.gz	NaN	haploid
2060_SRR6123032_SRR6123183_3060	2060_SRR6123032_SRR6123183_3060	2060_SRR6123032_SRR6123183_3060.fastq.gz	NaN	haploid
2061_SRR6123032_SRR6123183_3061	2061_SRR6123032_SRR6123183_3061	2061_SRR6123032_SRR6123183_3061.fastq.gz	NaN	haploid
2062_SRR6123032_SRR6123183_3062	2062_SRR6123032_SRR6123183_3062	2062_SRR6123032_SRR6123183_3062.fastq.gz	NaN	haploid
2063_SRR6123032_SRR6123183_3063	2063_SRR6123032_SRR6123183_3063	2063_SRR6123032_SRR6123183_3063.fastq.gz	NaN	haploid
2064_SRR6123032_SRR6123183_3064	2064_SRR6123032_SRR6123183_3064	2064_SRR6123032_SRR6123183_3064.fastq.gz	NaN	haploid
2065_SRR6123032_SRR6123183_3065	2065_SRR6123032_SRR6123183_3065	2065_SRR6123032_SRR6123183_3065.fastq.gz	NaN	haploid
2066_SRR6123032_SRR6123183_3066	2066_SRR6123032_SRR6123183_3066	2066_SRR6123032_SRR6123183_3066.fastq.gz	NaN	haploid
2067_SRR6123032_SRR6123183_3067	2067_SRR6123032_SRR6123183_3067	2067_SRR6123032_SRR6123183_3067.fastq.gz	NaN	haploid
2068_SRR6123032_SRR6123183_3068	2068_SRR6123032_SRR6123183_3068	2068_SRR6123032_SRR6123183_3068.fastq.gz	NaN	haploid
2069_SRR6123032_SRR6123183_3069	2069_SRR6123032_SRR6123183_3069	2069_SRR6123032_SRR6123183_3069.fastq.gz	NaN	haploid
2070_SRR6123032_SRR6123183_3070	2070_SRR6123032_SRR6123183_3070	2070_SRR6123032_SRR6123183_3070.fastq.gz	NaN	haploid
2071_SRR6123032_SRR6123183_3071	2071_SRR6123032_SRR6123183_3071	2071_SRR6123032_SRR6123183_3071.fastq.gz	NaN	haploid
2072_SRR6123032_SRR6123183_3072	2072_SRR6123032_SRR6123183_3072	2072_SRR6123032_SRR6123183_3072.fastq.gz	NaN	haploid
2073_SRR6123032_SRR6123183_3073	2073_SRR6123032_SRR6123183_3073	2073_SRR6123032_SRR6123183_3073.fastq.gz	NaN	haploid
2074_SRR6123032_SRR6123183_3074	2074_SRR6123032_SRR6123183_3074	2074_SRR6123032_SRR6123183_3074.fastq.gz	NaN	haploid
2075_SRR6123032_SRR6123183_3075	2075_SRR6123032_SRR6123183_3075	2075_SRR6123032_SRR6123183_3075.fastq.gz	NaN	haploid
2076_SRR6123032_SRR6123183_3076	2076_SRR6123032_SRR6123183_3076	2076_SRR6123032_SRR6123183_3076.fastq.gz	NaN	haploid
2077_SRR6123032_SRR6123183_3077	2077_SRR6123032_SRR6123183_3077	2077_SRR6123032_SRR6123183_3077.fastq.gz	NaN	haploid
2078_SRR6123032_SRR6123183_3078	2078_SRR6123032_SRR6123183_3078	2078_SRR6123032_SRR6123183_3078.fastq.gz	NaN	haploid
2079_SRR6123032_SRR6123183_3079	2079_SRR6123032_SRR6123183_3079	2079_SRR6123032_SRR6123183_3079.fastq.gz	NaN	haploid
2080_SRR6123032_SRR6123183_3080	2080_SRR6123032_SRR6123183_3080	2080_SRR6123032_SRR6123183_3080.fastq.gz	NaN	haploid
2081_SRR6123032_SRR6123183_3081	2081_SRR6123032_SRR6123183_3081	2081_SRR6123032_SRR6123183_3081.fastq.gz	NaN	haploid
2082_SRR6123032_SRR6123183_3082	2082_SRR6123032_SRR6123183_3082	2082_SRR6123032_SRR6123183_3082.fastq.gz	NaN	haploid
2083_SRR6123032_SRR6123183_3083	2083_SRR6123032_SRR6123183_3083	2083_SRR6123032_SRR6123183_3083.fastq.gz	NaN	haploid
2084_SRR6123032_SRR6123183_3084	2084_SRR6123032_SRR6123183_3084	2084_SRR6123032_SRR6123183_3084.fastq.gz	NaN	haploid
2085_SRR6123032_SRR6123183_3085	2085_SRR6123032_SRR6123183_3085	2085_SRR6123032_SRR6123183_3085.fastq.gz	NaN	haploid
2086_SRR6123032_SRR6123183_3086	2086_SRR6123032_SRR6123183_3086	2086_SRR6123032_SRR6123183_3086.fastq.gz	NaN	haploid
2087_SRR6123032_SRR6123183_3087	2087_SRR6123032_SRR6123183_3087	2087_SRR6123032_SRR6123183_3087.fastq.gz	NaN	haploid
2088_SRR6123032_SRR6123183_3088	2088_SRR6123032_SRR6123183_3088	2088_SRR6123032_SRR6123183_3088.fastq.gz	NaN	haploid
2089_SRR6123032_SRR6123183_3089	2089_SRR6123032_SRR6123183_3089	2089_SRR6123032_SRR6123183_3089.fastq.gz	NaN	haploid
2090_SRR6123032_SRR6123183_3090	2090_SRR6123032_SRR6123183_3090	2090_SRR6123032_SRR6123183_3090.fastq.gz	NaN	haploid
2091_SRR6123032_SRR6123183_3091	2091_SRR6123032_SRR6123183_3091	2091_SRR6123032_SRR6123183_3091.fastq.gz	NaN	haploid
2092_SRR6123032_SRR6123183_3092	2092_SRR6123032_SRR6123183_3092	2092_SRR6123032_SRR6123183_3092.fastq.gz	NaN	haploid
2093_SRR6123032_SRR6123183_3093	2093_SRR6123032_SRR6123183_3093	2093_SRR6123032_SRR6123183_3093.fastq.gz	NaN	haploid
2094_SRR6123032_SRR6123183_3094	2094_SRR6123032_SRR6123183_3094	2094_SRR6123032_SRR6123183_3094.fastq.gz	NaN	haploid
2095_SRR6123032_SRR6123183_3095	2095_SRR6123032_SRR6123183_3095	2095_SRR6123032_SRR6123183_3095.fastq.gz	NaN	haploid
2096_SRR6123032_SRR6123183_3096	2096_SRR6123032_SRR6123183_3096	2096_SRR6123032_SRR6123183_3096.fastq.gz	NaN	haploid
2097_SRR6123032_SRR6123183_3097	2097_SRR6123032_SRR6123183_3097	2097_SRR6123032_SRR6123183_3097.fastq.gz	NaN	haploid
2098_SRR6123032_SRR6123183_3098	2098_SRR6123032_SRR6123183_3098	2098_SRR6123032_SRR6123183_3098.fastq.gz	NaN	haploid
2099_SRR6123032_SRR6123183_3099	2099_SRR6123032_SRR6123183_3099	2099_SRR6123032_SRR6123183_3099.fastq.gz	NaN	haploid
2100_SRR6123032_SRR6123183_3100	2100_SRR6123032_SRR6123183_3100	2100_SRR6123032_SRR6123183_3100.fastq.gz	NaN	haploid
2101_SRR6123032_SRR6123183_3101	2101_SRR6123032_SRR6123183_3101	2101_SRR6123032_SRR6123183_3101.fastq.gz	NaN	haploid
2102_SRR6123032_SRR6123183_3102	2102_SRR6123032_SRR6123183_3102	2102_SRR6123032_SRR6123183_3102.fastq.gz	NaN	haploid
2103_SRR6123032_SRR6123183_3103	2103_SRR6123032_SRR6123183_3103	2103_SRR6123032_SRR6123183_3103.fastq.gz	NaN	haploid
2104_SRR6123032_SRR6123183_3104	2104_SRR6123032_SRR6123183_3104	2104_SRR6123032_SRR6123183_3104.fastq.gz	NaN	haploid
2105_SRR6123032_SRR6123183_3105	2105_SRR6123032_SRR6123183_3105	2105_SRR6123032_SRR6123183_3105.fastq.gz	NaN	haploid
2106_SRR6123032_SRR6123183_3106	2106_SRR6123032_SRR6123183_3106	2106_SRR6123032_SRR6123183_3106.fastq.gz	NaN	haploid
2107_SRR6123032_SRR6123183_3107	2107_SRR6123032_SRR6123183_3107	2107_SRR6123032_SRR6123183_3107.fastq.gz	NaN	haploid
2108_SRR6123032_SRR6123183_3108	2108_SRR6123032_SRR6123183_3108	2108_SRR6123032_SRR6123183_3108.fastq.gz	NaN	haploid
2109_SRR6123032_SRR6123183_3109	2109_SRR6123032_SRR6123183_3109	2109_SRR6123032_SRR6123183_3109.fastq.gz	NaN	haploid
2110_SRR6123032_SRR6123183_3110	2110_SRR6123032_SRR6123183_3110	2110_SRR6123032_SRR6123183_3110.fastq.gz	NaN	haploid
109_SRR6123032_SRR6123031_1109	109_SRR6123032_SRR6123031_1109	109_SRR6123032_SRR6123031_1109.fastq.gz	NaN	haploid
10_SRR6123032_SRR6123031_1010	10_SRR6123032_SRR6123031_1010	10_SRR6123032_SRR6123031_1010.fastq.gz	NaN	haploid
110_SRR6123032_SRR6123031_1110	110_SRR6123032_SRR6123031_1110	110_SRR6123032_SRR6123031_1110.fastq.gz	NaN	haploid
111_SRR6123032_SRR6123031_1111	111_SRR6123032_SRR6123031_1111	111_SRR6123032_SRR6123031_1111.fastq.gz	NaN	haploid
112_SRR6123032_SRR6123031_1112	112_SRR6123032_SRR6123031_1112	112_SRR6123032_SRR6123031_1112.fastq.gz	NaN	haploid
113_SRR6123032_SRR6123031_1113	113_SRR6123032_SRR6123031_1113	113_SRR6123032_SRR6123031_1113.fastq.gz	NaN	haploid
114_SRR6123032_SRR6123031_1114	114_SRR6123032_SRR6123031_1114	114_SRR6123032_SRR6123031_1114.fastq.gz	NaN	haploid
115_SRR6123032_SRR6123031_1115	115_SRR6123032_SRR6123031_1115	115_SRR6123032_SRR6123031_1115.fastq.gz	NaN	haploid
116_SRR6123032_SRR6123031_1116	116_SRR6123032_SRR6123031_1116	116_SRR6123032_SRR6123031_1116.fastq.gz	NaN	haploid
117_SRR6123032_SRR6123031_1117	117_SRR6123032_SRR6123031_1117	117_SRR6123032_SRR6123031_1117.fastq.gz	NaN	haploid
118_SRR6123032_SRR6123031_1118	118_SRR6123032_SRR6123031_1118	118_SRR6123032_SRR6123031_1118.fastq.gz	NaN	haploid
119_SRR6123032_SRR6123031_1119	119_SRR6123032_SRR6123031_1119	119_SRR6123032_SRR6123031_1119.fastq.gz	NaN	haploid
11_SRR6123032_SRR6123031_1011	11_SRR6123032_SRR6123031_1011	11_SRR6123032_SRR6123031_1011.fastq.gz	NaN	haploid
120_SRR6123032_SRR6123031_1120	120_SRR6123032_SRR6123031_1120	120_SRR6123032_SRR6123031_1120.fastq.gz	NaN	haploid
121_SRR6123032_SRR6123031_1121	121_SRR6123032_SRR6123031_1121	121_SRR6123032_SRR6123031_1121.fastq.gz	NaN	haploid
122_SRR6123032_SRR6123031_1122	122_SRR6123032_SRR6123031_1122	122_SRR6123032_SRR6123031_1122.fastq.gz	NaN	haploid
123_SRR6123032_SRR6123031_1123	123_SRR6123032_SRR6123031_1123	123_SRR6123032_SRR6123031_1123.fastq.gz	NaN	haploid
124_SRR6123032_SRR6123031_1124	124_SRR6123032_SRR6123031_1124	124_SRR6123032_SRR6123031_1124.fastq.gz	NaN	haploid
125_SRR6123032_SRR6123031_1125	125_SRR6123032_SRR6123031_1125	125_SRR6123032_SRR6123031_1125.fastq.gz	NaN	haploid
126_SRR6123032_SRR6123031_1126	126_SRR6123032_SRR6123031_1126	126_SRR6123032_SRR6123031_1126.fastq.gz	NaN	haploid
127_SRR6123032_SRR6123031_1127	127_SRR6123032_SRR6123031_1127	127_SRR6123032_SRR6123031_1127.fastq.gz	NaN	haploid
128_SRR6123032_SRR6123031_1128	128_SRR6123032_SRR6123031_1128	128_SRR6123032_SRR6123031_1128.fastq.gz	NaN	haploid
129_SRR6123032_SRR6123031_1129	129_SRR6123032_SRR6123031_1129	129_SRR6123032_SRR6123031_1129.fastq.gz	NaN	haploid
12_SRR6123032_SRR6123031_1012	12_SRR6123032_SRR6123031_1012	12_SRR6123032_SRR6123031_1012.fastq.gz	NaN	haploid
130_SRR6123032_SRR6123031_1130	130_SRR6123032_SRR6123031_1130	130_SRR6123032_SRR6123031_1130.fastq.gz	NaN	haploid
131_SRR6123032_SRR6123031_1131	131_SRR6123032_SRR6123031_1131	131_SRR6123032_SRR6123031_1131.fastq.gz	NaN	haploid
132_SRR6123032_SRR6123031_1132	132_SRR6123032_SRR6123031_1132	132_SRR6123032_SRR6123031_1132.fastq.gz	NaN	haploid
133_SRR6123032_SRR6123031_1133	133_SRR6123032_SRR6123031_1133	133_SRR6123032_SRR6123031_1133.fastq.gz	NaN	haploid
134_SRR6123032_SRR6123031_1134	134_SRR6123032_SRR6123031_1134	134_SRR6123032_SRR6123031_1134.fastq.gz	NaN	haploid
135_SRR6123032_SRR6123031_1135	135_SRR6123032_SRR6123031_1135	135_SRR6123032_SRR6123031_1135.fastq.gz	NaN	haploid
136_SRR6123032_SRR6123031_1136	136_SRR6123032_SRR6123031_1136	136_SRR6123032_SRR6123031_1136.fastq.gz	NaN	haploid
137_SRR6123032_SRR6123031_1137	137_SRR6123032_SRR6123031_1137	137_SRR6123032_SRR6123031_1137.fastq.gz	NaN	haploid
138_SRR6123032_SRR6123031_1138	138_SRR6123032_SRR6123031_1138	138_SRR6123032_SRR6123031_1138.fastq.gz	NaN	haploid
139_SRR6123032_SRR6123031_1139	139_SRR6123032_SRR6123031_1139	139_SRR6123032_SRR6123031_1139.fastq.gz	NaN	haploid
13_SRR6123032_SRR6123031_1013	13_SRR6123032_SRR6123031_1013	13_SRR6123032_SRR6123031_1013.fastq.gz	NaN	haploid
140_SRR6123032_SRR6123031_1140	140_SRR6123032_SRR6123031_1140	140_SRR6123032_SRR6123031_1140.fastq.gz	NaN	haploid
141_SRR6123032_SRR6123031_1141	141_SRR6123032_SRR6123031_1141	141_SRR6123032_SRR6123031_1141.fastq.gz	NaN	haploid
142_SRR6123032_SRR6123031_1142	142_SRR6123032_SRR6123031_1142	142_SRR6123032_SRR6123031_1142.fastq.gz	NaN	haploid
143_SRR6123032_SRR6123031_1143	143_SRR6123032_SRR6123031_1143	143_SRR6123032_SRR6123031_1143.fastq.gz	NaN	haploid
144_SRR6123032_SRR6123031_1144	144_SRR6123032_SRR6123031_1144	144_SRR6123032_SRR6123031_1144.fastq.gz	NaN	haploid
145_SRR6123032_SRR6123031_1145	145_SRR6123032_SRR6123031_1145	145_SRR6123032_SRR6123031_1145.fastq.gz	NaN	haploid
146_SRR6123032_SRR6123031_1146	146_SRR6123032_SRR6123031_1146	146_SRR6123032_SRR6123031_1146.fastq.gz	NaN	haploid
147_SRR6123032_SRR6123031_1147	147_SRR6123032_SRR6123031_1147	147_SRR6123032_SRR6123031_1147.fastq.gz	NaN	haploid
148_SRR6123032_SRR6123031_1148	148_SRR6123032_SRR6123031_1148	148_SRR6123032_SRR6123031_1148.fastq.gz	NaN	haploid
